fichier,map_bg,famille,groupe,position,variante,largeur_px,hauteur_px,frames_anim,tuiles_animees,frame_length,cases_bloquees,type,nom
aegis_cave_entrance,d32p11a,donjon : abords/salles (Dungeon ground),d32,entrée (p1x),a,1008,456,1,0,60,5490,JOUABLE,Aegis Cave Entrance
aegis_cave_floor_01,d32p12a,donjon : abords/salles (Dungeon ground),d32,entrée (p1x),a,1008,456,1,0,60,5490,JOUABLE,Aegis Cave Floor 01
aegis_cave_floor_02,d32p13a,donjon : abords/salles (Dungeon ground),d32,entrée (p1x),a,1008,456,1,0,60,5493,JOUABLE,Aegis Cave Floor 02
aegis_cave_floor_03,d32p14a,donjon : abords/salles (Dungeon ground),d32,entrée (p1x),a,576,408,1,0,60,0,BG (sans collision),Aegis Cave Floor 03
aegis_cave_floor_04,d32p31a,donjon : abords/salles (Dungeon ground),d32,intermédiaire (p3x),a,912,456,1,0,60,5166,JOUABLE,Aegis Cave Floor 04
aegis_cave_floor_05,d32p32a,donjon : abords/salles (Dungeon ground),d32,intermédiaire (p3x),a,912,456,1,0,60,4914,JOUABLE,Aegis Cave Floor 05
aegis_cave_floor_06,d32p33a,donjon : abords/salles (Dungeon ground),d32,intermédiaire (p3x),a,912,456,1,0,60,4914,JOUABLE,Aegis Cave Floor 06
aegis_cave_floor_07,d32p41a,donjon : abords/salles (Dungeon ground),d32,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),Aegis Cave Floor 07
aegis_cave_floor_08,d32p42a,donjon : abords/salles (Dungeon ground),d32,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),Aegis Cave Floor 08
aegis_cave_floor_09,d32p43a,donjon : abords/salles (Dungeon ground),d32,fond/boss (p4x),a,1440,960,1,0,60,0,BG (sans collision),Aegis Cave Floor 09
aegis_cave_floor_10,d32p44a,donjon : abords/salles (Dungeon ground),d32,fond/boss (p4x),a,600,648,1,0,60,0,BG (sans collision),Aegis Cave Floor 10
b01p01_beach,b01p01_beach,plage/début (legacy),b01,,,0,0,1,0,,0,BG (sans collision),Converted NDS Map
d00p01,d00p01,donjon : abords/salles (Dungeon ground),d00,p1,,456,456,1,0,60,0,BG (sans collision),D00P01
d00p02,d00p02,donjon : abords/salles (Dungeon ground),d00,p2,,456,456,1,0,60,2376,JOUABLE,D00P02
d01p11a,d01p11a,donjon : abords/salles (Dungeon ground),d01,entrée (p1x),a,792,384,17,740,"10,60",3760,JOUABLE,D01P11A
d01p11b,d01p11b,donjon : abords/salles (Dungeon ground),d01,entrée (p1x),b,792,384,26,739,"10,60",3638,JOUABLE,D01P11B
d01p41a,d01p41a,donjon : abords/salles (Dungeon ground),d01,fond/boss (p4x),a,456,480,22,306,"10,60",2363,JOUABLE,D01P41A
d02p11a,d02p11a,donjon : abords/salles (Dungeon ground),d02,entrée (p1x),a,528,408,1,0,60,0,BG (sans collision),D02P11A
d02p31a,d02p31a,donjon : abords/salles (Dungeon ground),d02,intermédiaire (p3x),a,480,384,5,122,"10,60",0,BG (sans collision),D02P31A
d03p11a,d03p11a,donjon : abords/salles (Dungeon ground),d03,entrée (p1x),a,552,480,1,0,60,0,BG (sans collision),D03P11A
