id,visible_w,visible_h,canvas_w,canvas_h,grid_w,grid_h,source
comptoir_spinda,120,88,120,96,15,12,"['SpindaCafe1', 'SpindaCafe2']"
comptoir_qulbutoke,120,88,120,96,15,12,"['SpindaCafe1', 'SpindaCafe2']"
table_spinda_tasses,43,43,48,48,6,6,SpindaCafe2
table_spinda_vide,43,43,48,48,6,6,SpindaCafe2
plante_spinda,40,44,40,48,5,6,SpindaCafe2
petite_plante_spinda,27,25,32,32,4,4,SpindaCafe2
ruban_spinda,64,33,64,40,8,5,SpindaCafe2
tonneaux,42,45,48,48,6,6,Metano_Town_Cafe_Objects
plante_cafe,40,54,40,56,5,7,Metano_Town_Cafe_Objects
menu,35,45,40,48,5,6,Metano_Town_Cafe_Objects
tapis_vert,96,40,96,40,12,5,Metano_Town_Cafe_Objects
table_halcyon_tasses,46,44,48,48,6,6,Metano_Town_Cafe_Objects
table_halcyon_vide,46,44,48,48,6,6,Metano_Town_Cafe_Objects
caisses,50,56,56,56,7,7,Metano_Town_Cafe_Objects
etagere,48,48,48,48,6,6,Metano_Town_Cafe_Objects
bar_jus,121,37,128,40,16,5,Metano_Town_Cafe_Objects_Over
plante_auberge,40,44,40,48,5,6,Metano_Inn_Objects
tonneau_auberge,24,29,24,32,3,4,Metano_Inn_Objects
tabouret,14,16,16,16,2,2,Metano_Inn_Objects
coffre,21,23,24,24,3,3,Metano_Inn_Objects
lit_paille,107,54,112,56,14,7,Metano_Inn_Objects
coussin_paille,39,28,40,32,5,4,Metano_Inn_Objects
table_auberge,48,44,48,48,6,6,Metano_Inn_Objects
caisse_pommes,44,36,48,40,6,5,Metano_Inn_Objects
bouquet,24,28,24,32,3,4,Metano_Inn_Objects_Over
banniere,28,89,32,96,4,12,Guild_Dining_Room_Objects
liane,29,56,32,56,4,7,Guild_Dining_Room_Objects
fleurs_bleues,18,19,24,24,3,3,Guild_Dining_Room_Objects
tapis_dore,177,57,184,64,23,8,Guild_Dining_Room_Objects
banquet,167,51,168,56,21,7,Guild_Dining_Room_Objects_Over
